Match Number,Round Number,Date,Location,Home Team,Away Team,Result
60,7,18/09/2022 17:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Fatih Karagümrük,0 - 0
59,7,18/09/2022 20:00,Eryaman Stadium,Ankaragücü,Sivasspor,2 - 1
62,7,18/09/2022 20:00,Sükrü Saracoglu Stadium,Fenerbahçe,Alanyaspor,5 - 0
70,8,01/10/2022 14:30,Recep Tayyip Erdogan Stadium,Kasimpasa,Gaziantep,1 - 0
68,8,01/10/2022 17:00,Eryaman Stadium,Ankaragücü,Istanbul Basaksehir,1 - 2
72,8,01/10/2022 17:00,Kadir Has Stadium,Kayserispor,Trabzonspor,1 - 2
69,8,01/10/2022 20:00,New Adana Stadium,Adana Demirspor,Galatasaray,0 - 0
64,8,02/10/2022 14:30,New Sivas 4 Eylül Stadium,Sivasspor,Hatayspor,1 - 2
65,8,02/10/2022 14:30,Bahçesehir Okullari Stadium,Alanyaspor,Giresunspor,1 - 1
71,8,02/10/2022 17:00,Konya Metropolitan Municipality Stadium,Konyaspor,Ümraniyespor,1 - 0
67,8,02/10/2022 20:00,Vodafone Park,Besiktas,Fenerbahçe,0 - 0
66,8,03/10/2022 20:00,Atatürk Olympic Stadium,Fatih Karagümrük,Istanbulspor,1 - 2
76,9,07/10/2022 20:00,Gaziantep Stadium,Gaziantep,Adana Demirspor,1 - 1
78,9,08/10/2022 14:30,Esenyurt Necmi Kadioglu Stadium,Istanbulspor,Ankaragücü,1 - 2
73,9,08/10/2022 17:00,Antalya Stadium,Antalyaspor,Konyaspor,1 - 1
80,9,08/10/2022 20:00,Çotanak Sports Complex,Giresunspor,Besiktas,0 - 1
74,9,09/10/2022 14:30,Ümraniye Belediyesi Sehir Stadium,Ümraniyespor,Kayserispor,2 - 2
81,9,09/10/2022 17:00,New Hatay Stadium,Hatayspor,Alanyaspor,1 - 0
79,9,09/10/2022 20:00,Sükrü Saracoglu Stadium,Fenerbahçe,Fatih Karagümrük,5 - 4
75,9,10/10/2022 20:00,Senol Günes Sports Complex,Trabzonspor,Kasimpasa,0 - 0
77,9,10/10/2022 20:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Sivasspor,0 - 2
83,10,14/10/2022 20:00,Bahçesehir Okullari Stadium,Alanyaspor,Antalyaspor,
84,10,15/10/2022 14:30,Atatürk Olympic Stadium,Fatih Karagümrük,Hatayspor,
88,10,15/10/2022 17:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Adana Demirspor,
90,10,15/10/2022 20:00,Kadir Has Stadium,Kayserispor,Galatasaray,
89,10,16/10/2022 14:30,Konya Metropolitan Municipality Stadium,Konyaspor,Gaziantep,
87,10,16/10/2022 17:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Istanbulspor,
85,10,16/10/2022 20:00,Vodafone Park,Besiktas,Trabzonspor,
82,10,17/10/2022 20:00,New Sivas 4 Eylül Stadium,Sivasspor,Giresunspor,
